1577836800000,7189.43,7260.43,7170.15,7197.57,56801.329,1577923199999,409678760.56957,101871,28834.200,208001969.84595,0
1577923200000,7197.57,7209.59,6922.00,6962.04,115295.677,1578009599999,815627831.08338,224747,55404.262,391911677.42577,0
1578009600000,6962.34,7407.28,6863.44,7341.72,208493.458,1578095999999,1507313613.42952,409820,107485.965,777056807.77789,0
1578096000000,7341.60,7400.00,7269.21,7350.71,92586.033,1578182399999,678402363.73751,186349,46139.090,338139639.44063,0
1578182400000,7350.54,7495.00,7303.00,7354.36,117765.972,1578268799999,874488521.38096,238905,58447.543,434120205.45978,0
1578268800000,7354.36,7808.65,7345.00,7757.39,168150.317,1578355199999,1272203777.30362,323625,86031.412,651077883.24518,0
1578355200000,7757.74,8215.33,7733.00,8152.49,280809.162,1578441599999,2233372067.10005,526402,140703.918,1119355459.77070,0
1578441600000,8150.90,8468.42,7870.11,8059.84,321225.114,1578527999999,2644782835.79284,650971,157260.453,1295047587.12318,0
1578528000000,8059.77,8060.00,7750.01,7818.59,187263.143,1578614399999,1478591346.02358,362420,91426.059,721979491.09053,0
1578614400000,7817.91,8210.62,7670.00,8207.09,253783.948,1578700799999,2013738849.92087,542054,129373.462,1026943509.85917,0
1578700800000,8207.20,8292.19,8003.87,8020.56,164741.715,1578787199999,1338581053.96550,354690,81244.929,660268578.07588,0
1578787200000,8020.58,8195.00,7956.28,8186.70,108629.964,1578873599999,881428055.68761,243290,54658.736,443543021.84472,0
1578873600000,8186.22,8200.00,8053.78,8113.00,74581.364,1578959999999,604921759.06788,184440,36688.577,297649675.36952,0
1578960000000,8112.99,8893.00,8109.02,8825.00,290777.981,1579046399999,2496741836.26976,652920,149457.707,1283141153.07419,0
1579046400000,8825.00,8921.20,8570.52,8825.30,237633.837,1579132799999,2084078908.15777,435491,115421.367,1012516254.34404,0
1579132800000,8825.35,8868.21,8596.25,8725.08,167958.963,1579219199999,1460649456.34463,294579,83305.758,724430509.13343,0
1579219200000,8724.99,9039.00,8680.00,8918.72,205717.686,1579305599999,1827760141.13558,390463,102758.035,913167403.80218,0
1579305600000,8918.73,8995.00,8816.00,8925.00,114708.682,1579391999999,1021654832.44937,220520,57164.221,509171594.41337,0
1579392000000,8925.00,9205.30,8440.91,8705.85,225314.525,1579478399999,1990403744.33708,444795,109554.498,968352310.34136,0
1579478400000,8705.98,8750.37,8526.06,8650.00,125161.675,1579564799999,1083263125.12439,240897,60421.576,522998706.33570,0
1579564800000,8650.00,8790.10,8448.60,8742.43,107577.153,1579651199999,931932876.50871,200875,53560.546,464224799.86614,0
1579651200000,8742.78,8820.00,8585.85,8684.57,94305.496,1579737599999,819676430.85578,180455,46246.208,402021377.35119,0
1579737600000,8684.47,8694.00,8326.00,8409.60,163407.064,1579823999999,1383035382.70483,335447,79123.155,669543820.62553,0
1579824000000,8410.00,8528.00,8247.00,8441.96,144785.391,1579910399999,1217077351.53608,316370,72647.472,610835373.11839,0
1579910400000,8442.82,8455.00,8272.00,8344.64,96961.714,1579996799999,809079683.34699,186872,47660.876,397729498.38688,0
1579996800000,8344.37,8624.45,8300.00,8611.21,117898.916,1580083199999,999306483.13926,218347,61183.604,518823465.25907,0
1580083200000,8611.21,9015.48,8565.00,8913.61,172235.328,1580169599999,1511064610.55725,359034,88760.412,778817122.09944,0
1580169600000,8913.61,9436.06,8905.00,9398.98,244467.546,1580255999999,2222778105.27098,455985,123183.084,1120479865.69273,0
1580256000000,9399.72,9460.52,9242.00,9311.00,169460.643,1580342399999,1584974428.29945,338155,82813.375,774750108.56386,0
1580342400000,9311.23,9599.00,9210.42,9525.67,190137.536,1580428799999,1789181440.43438,393732,96408.369,907696824.98894,0
1580428800000,9525.67,9550.72,9220.00,9364.51,146644.026,1580515199999,1373298967.87264,266727,70753.403,662550732.90456,0
