1577836800000,129.12,130.61,128.62,130.57,49702.947,1577843999999,6440127.20024,4365,27635.892,3581439.14115,0
1577844000000,130.58,130.97,129.88,130.09,38688.117,1577851199999,5048213.00451,3255,17879.708,2332863.16025,0
1577851200000,130.10,130.63,130.05,130.23,19208.447,1577858399999,2502789.67292,1899,8829.249,1150273.61427,0
1577858400000,130.23,130.67,130,130.17,27605.276,1577865599999,3598452.37996,2350,13932.293,1815856.72958,0
1577865600000,130.15,130.49,129.75,130.03,22279.667,1577872799999,2897738.35406,2422,9674.313,1258305.93338,0
1577872800000,130.02,131.88,129.97,130.64,48087.290,1577879999999,6299235.91331,4047,26109.540,3420441.89305,0
1577880000000,130.63,131.97,130.63,131.55,31081.136,1577887199999,4082381.70074,2769,17025.360,2236063.44759,0
1577887200000,131.55,132.49,131.16,131.97,44603.171,1577894399999,5882492.85445,3946,22085.869,2913339.17527,0
1577894400000,132,132.96,131.71,132.31,49268.804,1577901599999,6519905.03382,3854,24792.926,3280986.64455,0
1577901600000,132.31,132.38,131.45,131.79,29455.680,1577908799999,3884378.16370,2582,13458.419,1774672.95512,0
1577908800000,131.79,132.25,131.57,131.77,32815.512,1577915999999,4329240.24273,2751,16192.578,2136025.12969,0
1577916000000,131.77,131.77,129.54,130.62,73267.882,1577923199999,9552603.88384,5928,34876.724,4545872.05134,0
1577923200000,130.63,130.75,130.09,130.17,28907.870,1577930399999,3768964.93607,2481,15160.354,1976566.35405,0
1577930400000,130.13,130.13,128.75,129.09,62445.364,1577937599999,8078096.58201,6002,30935.971,4001934.13403,0
1577937600000,129.07,129.83,128.67,129.58,40717.029,1577944799999,5269547.20459,3675,20417.047,2642450.50023,0
1577944800000,129.58,129.96,128.96,129.28,34430.094,1577951999999,4454323.57306,2962,17725.139,2293227.26862,0
1577952000000,129.20,130.22,129.17,129.96,35584.594,1577959199999,4619422.27482,2711,18980.988,2464226.07234,0
1577959200000,129.92,130.24,129.32,129.48,33756.494,1577966399999,4380980.70500,2753,14530.281,1886311.69169,0
1577966400000,129.47,129.95,128.79,129.31,38062.175,1577973599999,4927839.01319,3521,18244.392,2362425.33315,0
1577973600000,129.31,129.87,129.11,129.48,37027.768,1577980799999,4792028.39253,2924,19437.507,2515522.23730,0
1577980800000,129.50,129.65,126.25,127.36,142381.903,1577987999999,18144745.70973,13139,60882.405,7756964.20136,0
1577988000000,127.38,127.63,127.05,127.53,28440.035,1577995199999,3621437.29976,2808,15098.503,1922473.27568,0
1577995200000,127.53,127.79,126.70,127.65,24636.582,1578002399999,3134253.12100,2369,13613.840,1732071.04534,0
1578002400000,127.65,127.65,126.86,127.11,17193.016,1578009599999,2186332.03326,2134,8814.208,1120762.23947,0
1578009600000,127.11,127.51,125.78,125.96,36580.283,1578016799999,4635061.12358,3384,16464.206,2087291.05458,0
1578016800000,125.96,127.01,125.80,126.76,32000.165,1578023999999,4051230.84994,3425,18720.183,2370132.47480,0
1578024000000,126.81,130.18,126.81,129.18,135300.820,1578031199999,17438825.20844,12617,76074.309,9804393.21992,0
1578031200000,129.18,129.43,128.69,128.82,44890.221,1578038399999,5793454.00670,4400,19931.692,2572402.50151,0
1578038400000,128.84,132.97,128.66,132.32,161402.121,1578045599999,21203351.50069,18732,80747.570,10617187.53733,0
1578045600000,132.31,132.66,131.48,132.42,58950.501,1578052799999,7785558.17535,6345,29099.121,3843365.92778,0
1578052800000,132.40,133.95,131.87,133.47,60606.031,1578059999999,8043480.64868,7345,34355.525,4560846.91527,0
1578060000000,133.48,133.78,130.94,132.45,89254.524,1578067199999,11773604.92472,10784,41191.440,5432868.14683,0
1578067200000,132.48,134.94,131.92,133.93,139908.223,1578074399999,18645678.67708,16535,73807.213,9839214.80676,0
1578074400000,133.92,134.16,132.17,133.41,73684.010,1578081599999,9821768.98433,8601,35187.998,4690515.45356,0
1578081600000,133.42,133.98,132.21,132.44,53605.727,1578088799999,7142467.17331,6578,25782.907,3435381.84648,0
1578088800000,132.44,135.07,132.15,134.29,64940.971,1578095999999,8684446.76795,8115,34796.989,4653553.21920,0
1578096000000,134.31,134.73,132.75,132.97,46580.401,1578103199999,6221991.80076,6142,23356.912,3118855.83700,0
1578103200000,132.98,133.47,132.74,133.25,31114.371,1578110399999,4142956.62542,3439,15359.563,2045190.14551,0
1578110400000,133.25,134.00,132.88,133.65,38885.674,1578117599999,5192387.13599,4641,19312.906,2579102.75534,0
1578117600000,133.65,134.21,133.30,133.84,38487.354,1578124799999,5151938.06948,4543,20244.897,2709823.49279,0
1578124800000,133.84,134.08,133.34,134.05,37491.817,1578131999999,5013010.78880,4511,19098.833,2553882.00987,0
1578132000000,134.06,134.10,132.95,133.71,40549.822,1578139199999,5418649.12950,5091,19731.376,2636718.27447,0
1578139200000,133.71,133.71,132.41,132.84,37030.577,1578146399999,4925072.68846,5277,17913.874,2382366.13160,0
1578146400000,132.83,133.56,132.81,133.21,24192.704,1578153599999,3221912.83631,3350,11182.121,1488998.51860,0
1578153600000,133.19,134.80,132.91,134.51,46712.658,1578160799999,6252224.77847,6639,25632.475,3431212.66303,0
1578160800000,134.52,135.80,132.70,133.65,116185.783,1578167999999,15574072.87405,13620,58252.625,7813650.34924,0
1578168000000,133.66,134.51,133.38,134.03,35792.424,1578175199999,4794162.62187,4916,18793.927,2517385.62207,0
1578175200000,134.06,134.34,133.71,134.14,16754.523,1578182399999,2245551.06316,2969,8425.331,1129166.19105,0
1578182400000,134.14,135.82,134.12,135.56,79401.471,1578189599999,10724378.85361,9763,42335.137,5717396.85973,0
1578189600000,135.57,136.17,135.08,136.10,36008.167,1578196799999,4883555.08137,4786,20094.788,2725625.77606,0
1578196800000,136.10,137.25,135.56,136.10,60831.227,1578203999999,8281648.93944,5935,30533.682,4157436.27073,0
1578204000000,136.10,136.49,135.76,135.98,29045.563,1578211199999,3950942.42787,3255,15089.407,2052298.56755,0
1578211200000,135.99,136.18,134.84,135.26,48222.795,1578218399999,6527985.09031,5442,20514.035,2776560.96285,0
1578218400000,135.25,135.40,134.63,135.03,25170.677,1578225599999,3398468.90294,3292,12739.899,1720125.25274,0
1578225600000,135.03,135.88,135.02,135.56,36016.696,1578232799999,4880674.48437,4028,19062.764,2582860.54884,0
1578232800000,135.57,137.86,135.46,137.14,64875.013,1578239999999,8873060.17035,7311,32087.226,4388108.99372,0
1578240000000,137.16,138.17,136.50,137.74,78633.316,1578247199999,10805986.50720,6993,40717.581,5596222.91833,0
1578247200000,137.76,137.99,136.83,137.87,42895.157,1578254399999,5896434.39324,4018,21894.669,3009543.65054,0
1578254400000,137.86,137.94,134.79,135.31,94740.354,1578261599999,12910796.38934,8950,39205.380,5342299.25715,0
1578261600000,135.26,135.92,134.16,135.33,73837.251,1578268799999,9964666.18474,7307,37915.376,5117518.73903,0
